Temperature,Velocity,Server_1_Power,Server_2_Power,Server_3_Power,Server_4_Power,Server_5_Power,Server_6_Power,Server_7_Power,Server_8_Power,Server_9_Power,Server_10_Power,Server_11_Power,Server_12_Power,images
299,1.75,75,50,75,0,0,100,0,0,50,100,50,75,dp229
299,2.22,0,75,50,0,0,50,50,50,50,50,0,50,dp230
299,2.65,0,0,50,50,100,0,50,50,50,100,100,75,dp231
290,1.75,0,75,50,100,100,75,100,50,100,75,50,75,dp232
299,2.22,100,75,75,0,100,100,75,0,100,50,75,100,dp233
295,2.22,50,100,50,75,100,100,0,75,50,100,100,50,dp234
290,2.65,75,0,0,100,50,100,50,0,75,50,0,100,dp235
295,1.75,50,75,100,100,0,50,100,75,50,75,100,75,dp236
295,2.65,0,75,50,75,75,0,75,75,100,100,50,100,dp237
295,1.75,100,100,100,0,100,0,0,100,75,0,75,75,dp238
299,2.22,100,50,100,50,50,100,100,50,100,50,75,100,dp239
299,2.22,75,0,75,75,50,75,100,50,0,100,0,75,dp240
290,2.22,100,100,0,100,100,100,75,0,100,50,50,50,dp241
290,2.22,50,75,100,0,100,75,50,75,100,0,75,0,dp242
299,2.65,75,0,0,50,0,50,100,100,50,50,75,75,dp243
295,1.75,75,100,75,0,0,75,0,100,0,100,50,50,dp244
290,1.75,50,50,0,75,0,100,0,0,100,50,50,50,dp245
299,2.65,75,100,100,0,75,50,75,100,100,0,0,100,dp246
299,1.75,50,50,75,100,100,50,50,100,0,100,100,50,dp247
299,2.22,50,0,0,75,100,50,0,75,75,50,50,75,dp248
295,1.75,0,75,100,100,50,0,0,100,75,50,75,75,dp249
299,2.22,75,0,100,0,100,50,50,75,100,100,100,75,dp250
299,2.65,75,50,0,100,100,0,100,75,75,100,75,75,dp251
299,1.75,100,50,0,75,50,75,75,0,75,0,0,0,dp252
299,2.65,50,100,50,100,100,0,75,0,75,100,0,75,dp253
290,1.75,50,75,0,50,75,75,75,75,75,50,100,50,dp254
290,2.22,50,50,100,0,100,50,75,75,50,75,50,75,dp255
299,2.65,100,0,0,100,100,50,50,50,75,50,100,0,dp256
295,1.75,75,50,75,75,50,75,0,100,100,0,75,50,dp257
290,2.22,75,0,75,100,75,0,100,75,75,100,50,100,dp258
299,2.65,50,0,0,100,100,0,50,0,100,0,100,100,dp259
290,2.65,0,50,75,0,75,0,75,50,50,0,100,75,dp260
290,1.75,100,100,100,50,0,0,50,50,0,100,75,75,dp261
295,1.75,75,100,0,50,0,100,50,100,75,75,100,50,dp262
299,1.75,50,0,75,0,0,100,100,0,75,100,0,0,dp263
299,2.22,0,0,0,0,100,75,0,50,100,100,0,100,dp264
295,1.75,0,75,75,100,100,50,100,50,75,75,0,75,dp265
295,2.65,50,100,0,50,100,0,75,50,100,0,0,75,dp266
299,2.65,100,75,75,100,100,100,50,100,0,75,50,100,dp267
299,1.75,50,100,50,75,75,0,0,100,75,50,50,50,dp268
295,1.75,0,50,0,0,100,50,50,75,100,75,100,50,dp269
290,2.65,0,0,0,0,0,75,100,50,75,100,0,100,dp270
290,2.22,100,0,0,0,50,0,50,0,50,100,75,100,dp271
295,1.75,100,0,50,75,0,0,0,100,50,50,75,50,dp272
290,1.75,50,0,0,100,0,0,0,0,100,0,75,75,dp273
295,2.65,75,75,0,75,0,100,75,50,75,75,0,75,dp274
290,1.75,50,0,0,100,100,75,100,100,100,0,0,0,dp275
290,2.22,100,0,100,0,0,50,75,100,50,0,100,0,dp276
299,2.65,75,50,75,50,0,75,75,0,75,100,50,50,dp277
299,1.75,50,100,50,0,75,100,50,0,75,75,100,100,dp278
290,2.65,100,0,0,100,50,75,75,0,75,50,75,0,dp279
290,1.75,0,50,50,75,75,0,50,50,50,75,50,0,dp280
299,1.75,0,75,100,75,100,50,75,0,50,0,50,75,dp281
299,1.75,100,50,100,50,0,0,50,100,75,75,0,75,dp282
299,2.22,0,75,50,0,0,50,0,75,75,0,75,100,dp283
295,2.22,0,50,100,0,50,75,50,100,75,0,75,0,dp284
